call_number_id,facets
Lewis E M 11:20,15th century|16th century|Illustration|Tables|Astronomy|Fragment
Lewis E M 11:21,15th century|16th century|Illustration|Tables|Astronomy|Fragment
Lewis E M 11:22,15th century|16th century|Illustration|Tables|Astronomy|Fragment
Lewis E M 11:23,16th century|France|French|Book of Hours|Devotion|Illustration|Painting|Fragment
Lewis E M 11:24,15th century|Liturgy|Prayer book|France|French|Fragment
Lewis E M 11:25,16th century|France|French|Song book|Musical notation|Illumination|Illustration|Fragment
Lewis E M 11:26,16th century|France|French|Song book|Musical notation|Illumination|Illustration|Fragment
Lewis E M 11:27,16th century|France|French|Song book|Musical notation|Illumination|Fragment
Lewis E M 11:28,16th century|France|French|Song book|Musical notation|Fragment
Lewis E M 11:29,19th century|Fragment
Lewis E M 12:1,France|French|Fragment
Lewis E M 12:2,15th century|Illustration|Illumination|Fragment
Lewis E M 12:3,14th century|Inhabited initial|Illumination|Fragment
Lewis E M 12:4,15th century|Illustration|Illumination|Fragment
Lewis E M 12:5,15th century|Illustration|Illumination|Fragment
Lewis E M 12:6,15th century|Illustration|Illumination|Fragment
Lewis E M 12:7,15th century|Illustration|Illumination|Fragment
Lewis E M 12:8,15th century|Illustration|Illumination|Fragment
Lewis E M 12:9,15th century|Illustration|Illumination|Fragment
Lewis E M 12:10,15th century|Illustration|Illumination|Fragment
Lewis E M 12:11,Fragment|Musical notation
Lewis E M 12:12,15th century|Illustration|Illumination|Fragment
Lewis E M 12:13,15th century|Illustration|Illumination|Fragment
Lewis E M 12:14,15th century|Illustration|Illumination|Fragment
Lewis E M 12:15,15th century|Illustration|Illumination|Fragment
Lewis E M 12:16,15th century|Illustration|Illumination|Fragment
Lewis E M 12:17,15th century|Illustration|Illumination|Fragment
Lewis E M 12:18,15th century|Illustration|Illumination|Fragment
Lewis E M 12:19,15th century|Illustration|Illumination|Fragment
Lewis E M 12:20,15th century|Illustration|Illumination|Fragment
Lewis E M 12:21,15th century|Illustration|Illumination|Fragment
Lewis E M 12:22,15th century|Illustration|Illumination|Fragment
Lewis E M 12:23,15th century|Illustration|Illumination|Fragment
Lewis E M 12:24,15th century|Illustration|Illumination|Fragment
Lewis E M 12:25,15th century|Illustration|Illumination|Fragment
Lewis E M 13:1,15th century|Illustration|France|French|Illumination|Fragment
Lewis E M 13:2,15th century|Illustration|France|French|Illumination|Fragment
Lewis E M 13:3,15th century|Illustration|Illumination|Fragment
Lewis E M 13:4,15th century|Illustration|France|French|Illumination|Fragment
Lewis E M 13:5,15th century|Illustration|Illumination|Fragment
Lewis E M 13:6,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:7,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:8,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:9,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:10,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:11,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:12,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:13,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:14,15th century|Illustration|Illumination|Fragment
Lewis E M 13:15,15th century|Illustration|Illumination|Italy|Italian|Fragment
Lewis E M 13:16,15th century|Illustration|Illumination|Italy|Italian|Fragment
Lewis E M 13:17,15th century|Illustration|Illumination|Fragment
Lewis E M 13:18,15th century|Illustration|Illumination|France|French|Fragment
Lewis E M 13:19,15th century|Illustration|Illumination|Fragment
Lewis E M 14:1,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:2,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:3,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:4,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:5,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:6,16th century|Historiated initial|Fragment
Lewis E M 14:7,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:8,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:9,Illustration|Fragment
Lewis E M 14:10,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:11,France|French|Historiated initial|Fragment
Lewis E M 14:12,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:13,16th century|Historiated initial|Fragment
Lewis E M 14:14,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:15,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:16,16th century|France|French|Historiated initial|Fragment
Lewis E M 14:17,15th century|France|French|Historiated initial|Fragment
Lewis E M 15:1,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:2,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:3,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:4,16th century|Historiated initial|Fragment
Lewis E M 15:5,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:6,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:7,16th century|France|French|Historiated initial|Fragment
Lewis E M 15:8,15th century|France|French|Illustration|Illumination|Fragment
Lewis E M 15:9,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 15:10,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 15:11,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 15:12,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 15:13,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 15:14,16th century|Illustration|France|French|Illumination|Fragment
Lewis E M 16:1,12th century|Commentary|Bible|Biblical|Fragment|Illustration|England|English|Illumination
Lewis E M 16:2,12th century|Bible|Biblical|Fragment|Illustration|Germany|German|Illumination
Lewis E M 16:3,12th century|Commentary|Bible|Biblical|Fragment|Illustration|Germany|German|Illumination
Lewis E M 16:4,12th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:5,12th century|England|English|Illustration|Illumination|Fragment
Lewis E M 16:6,12th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:7,12th century|Commentary|Biblical|Bible|Illustration|Illumination|Fragment
Lewis E M 16:8-9,12th century|Legal|Christian|France|French|Illustration|Illumination|Fragment
Lewis E M 16:10,11th century|France|French|Illustration|Illumination|Fragment
Lewis E M 16:11,12th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:12,12th century|Germany|German|Illustration|Commentary|Biblical|Bible|Illumination|Fragment
Lewis E M 16:13,12th century|Biblical|Bible|Commentary|Treatise|Illustration|Illumination|Fragment
Lewis E M 16:14,12th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:15,12th century|Germany|German|Illustration|Illumination|Fragment
Lewis E M 16:16,12th century|Commentary|Biblical|Bible|Illustration|Illumination|Fragment
