folder_base,image files
lewis_e_m_012_007,mcai120071.tif|mcai120072.tif
lewis_e_m_012_008,mcai120081.tif|mcai120082.tif
lewis_e_m_012_009,mcai120091.tif|mcai120092.tif
lewis_e_m_012_010,mcai120101.tif|mcai120102.tif
lewis_e_m_012_011,mcai120111.tif|mcai120112.tif
lewis_e_m_012_012,mcai120121.tif|mcai120122.tif
lewis_e_m_012_013,mcai120131.tif|mcai120132.tif
lewis_e_m_012_014,mcai120141.tif|mcai120142.tif
lewis_e_m_012_015,mcai120151.tif|mcai120152.tif
lewis_e_m_012_016,mcai120161.tif
lewis_e_m_012_017,mcai120171.tif|mcai120172.tif
lewis_e_m_012_018,mcai120181.tif|mcai120182.tif
lewis_e_m_012_019,mcai120191.tif|mcai120192.tif
lewis_e_m_012_020,mcai120201.tif|mcai120202.tif
lewis_e_m_012_021,mcai120211.tif|mcai120212.tif
lewis_e_m_012_022,mcai120221.tif|mcai120222.tif
lewis_e_m_012_023,mcai120231.tif
lewis_e_m_012_024,mcai120241.tif|mcai120242.tif
lewis_e_m_012_025,mcai120251.tif|mcai120252.tif
lewis_e_m_013_001,mcai130011.tif|mcai130012.tif
lewis_e_m_013_002,mcai130021.tif|mcai130022.tif
lewis_e_m_013_003,mcai130031.tif|mcai130032.tif
lewis_e_m_013_004,mcai130041.tif|mcai130042.tif
lewis_e_m_013_005,mcai130051.tif|mcai130052.tif
lewis_e_m_013_006,mcai130061.tif|mcai130062.tif
lewis_e_m_013_007,mcai130071.tif|mcai130072.tif
lewis_e_m_013_008,mcai130081.tif|mcai130082.tif
lewis_e_m_013_009,mcai130091.tif|mcai130092.tif
lewis_e_m_013_010,mcai130101.tif|mcai130102.tif
lewis_e_m_013_011,mcai130111.tif|mcai130112.tif
lewis_e_m_013_012,mcai130121.tif|mcai130122.tif
lewis_e_m_013_013,mcai130131.tif|mcai130132.tif
lewis_e_m_013_014,mcai130141.tif|mcai130142.tif
lewis_e_m_013_015,mcai130151.tif|mcai130152.tif
lewis_e_m_013_016,mcai130161.tif|mcai130162.tif
lewis_e_m_013_017,mcai130171.tif|mcai130172.tif
lewis_e_m_013_018,mcai130181.tif|mcai130182.tif
lewis_e_m_013_019,mcai130191.tif|mcai130192.tif
lewis_e_m_014_001,mcai140011.tif|mcai140012.tif
lewis_e_m_014_002,mcai140021.tif|mcai140022.tif
lewis_e_m_014_003,mcai140031.tif|mcai140032.tif
lewis_e_m_014_004,mcai140041.tif|mcai140042.tif
lewis_e_m_014_005,mcai140051.tif|mcai140052.tif
lewis_e_m_014_006,mcai140061.tif|mcai140062.tif
lewis_e_m_014_007,mcai140071.tif|mcai140072.tif
lewis_e_m_014_008,mcai140081.tif|mcai140082.tif
lewis_e_m_014_009,mcai140091.tif|mcai140092.tif
lewis_e_m_014_010,mcai140101.tif|mcai140102.tif
lewis_e_m_014_011,mcai140111.tif|mcai140112.tif
lewis_e_m_014_012,mcai140121.tif|mcai140122.tif
lewis_e_m_014_013,mcai140131.tif|mcai140132.tif
lewis_e_m_014_014,mcai140141.tif|mcai140142.tif
lewis_e_m_014_015,mcai140151.tif|mcai140152.tif
lewis_e_m_014_016,mcai140161.tif|mcai140162.tif
lewis_e_m_014_017,mcai140171.tif|mcai140172.tif
lewis_e_m_015_001,mcai150011.tif|mcai150012.tif
lewis_e_m_015_002,mcai150021.tif|mcai150022.tif
lewis_e_m_015_003,mcai150031.tif|mcai150032.tif
lewis_e_m_015_004,mcai150041.tif|mcai150042.tif
lewis_e_m_015_005,mcai150051.tif|mcai150052.tif
lewis_e_m_015_006,mcai150061.tif|mcai150062.tif
lewis_e_m_015_007,mcai150071.tif|mcai150072.tif
lewis_e_m_015_008,mcai150081.tif
lewis_e_m_015_009,mcai150091.tif
lewis_e_m_015_010,mcai150101.tif
lewis_e_m_015_011,mcai150111.tif
lewis_e_m_015_012,mcai150121.tif
lewis_e_m_015_013,mcai150131.tif
lewis_e_m_015_014,mcai150141.tif
lewis_e_m_016_001,mcai160011.tif|mcai160012.tif
lewis_e_m_016_002,mcai160021.tif|mcai160022.tif
lewis_e_m_016_003,mcai160031.tif|mcai160032.tif
lewis_e_m_016_004,mcai160041.tif|mcai160042.tif
lewis_e_m_016_005,mcai160051.tif|mcai160052.tif
lewis_e_m_016_006,mcai160061.tif|mcai160062.tif
lewis_e_m_016_007,mcai160071.tif|mcai160072.tif
lewis_e_m_016_008-009,mcai160081.tif|mcai160082.tif|mcai160091.tif|mcai160092.tif
lewis_e_m_016_010,mcai160101.tif|mcai160102.tif
lewis_e_m_016_011,mcai160111.tif|mcai160112.tif
lewis_e_m_016_012,mcai160121.tif|mcai160122.tif
lewis_e_m_016_013,mcai160131.tif|mcai160132.tif
lewis_e_m_016_014,mcai160141.tif|mcai160142.tif
lewis_e_m_016_015,mcai160151.tif|mcai160152.tif
lewis_e_m_016_016,mcai160161.tif|mcai160162.tif
lewis_e_m_016_017,mcai160171.tif|mcai160172.tif
lewis_e_m_016_018,mcai160181.tif|mcai160182.tif
lewis_e_m_016_019,mcai160191.tif|mcai160192.tif
lewis_e_m_016_020,mcai160201.tif|mcai160202.tif
lewis_e_m_016_021,mcai160211.tif|mcai160212.tif
